Nome:,Coleção:,Raridade:,Qualidade:,Preço:
Mago Negro,LEDD-ENA01,Common,SP,R$ 0.99
Mago Negro,LOB-005,"Ultra Rare, First Edition",D,R$ 149.99
Mago Negro,GFTP-EN128,Ghost Rare,NM,R$ 2339.99
Dragão Negro de Olhos Vermelhos,SGX3-ENB02,Common,NM,R$ 6.00
Dragão Negro de Olhos Vermelhos,MGED-EN003,Premium Gold Rare,NM,R$ 34.99
Dragão Negro de Olhos Vermelhos,GFP2-EN176,Ghost Rare,SP,R$ 349.99
"Exodia, ""O Proibido""",MGED-EN005,Premium Gold Rare,NM,R$ 4.00
"Exodia, ""O Proibido""",TN23-EN002,Quarter Century Secret Rare,NM,R$ 24.49
"Exodia, ""O Proibido""",BLCR-EN101,Starlight Rare,NM,R$ 1999.99
